id,previous_reading,current_reading,excess_consumption,total_consumed,finished_at,period_id,water_meter_id,code,created_at,created_by_id,operator_id,status,updated_at,updated_by_id
12795,6182,6182,0,0,2025-05-01 16:51:01.143749 +00:00,49,644,LE-10023,2025-05-01 12:08:58.257916 +00:00,,3,F,2025-05-01 16:51:01.152936 +00:00,
12816,308,308,0,0,2025-05-01 16:52:21.165897 +00:00,49,665,LE-10044,2025-05-01 12:08:58.258343 +00:00,,3,F,2025-05-01 16:52:21.201552 +00:00,
12799,1262,1263,0,1,2025-05-01 16:52:55.764670 +00:00,49,648,LE-10027,2025-05-01 12:08:58.257987 +00:00,,3,F,2025-05-01 16:52:55.780218 +00:00,
12800,1923,1950,17,27,2025-05-01 16:56:00.782300 +00:00,49,649,LE-10028,2025-05-01 12:08:58.258004 +00:00,,3,F,2025-05-01 16:56:00.795033 +00:00,
12803,1691,1703,2,12,2025-05-01 17:18:14.565306 +00:00,49,652,LE-10031,2025-05-01 12:08:58.258054 +00:00,,3,F,2025-05-01 17:18:14.582843 +00:00,
12801,3246,3257,1,11,2025-05-01 17:21:21.144367 +00:00,49,650,LE-10029,2025-05-01 12:08:58.258021 +00:00,,3,F,2025-05-01 17:21:21.153498 +00:00,
12802,1445,1455,0,10,2025-05-01 17:22:26.448294 +00:00,49,651,LE-10030,2025-05-01 12:08:58.258037 +00:00,,3,F,2025-05-01 17:22:26.460460 +00:00,
12794,5717,5734,7,17,2025-05-01 17:27:22.601156 +00:00,49,643,LE-10022,2025-05-01 12:08:58.257893 +00:00,,3,F,2025-05-01 17:27:22.614486 +00:00,
12792,7018,7022,0,4,2025-05-01 17:28:44.708328 +00:00,49,641,LE-10020,2025-05-01 12:08:58.257860 +00:00,,3,F,2025-05-01 17:28:44.730164 +00:00,
12791,2774,2778,0,4,2025-05-01 17:34:15.611144 +00:00,49,640,LE-10019,2025-05-01 12:08:58.257843 +00:00,,3,F,2025-05-01 17:34:15.655802 +00:00,
12796,357,360,0,3,2025-05-01 17:35:02.632116 +00:00,49,645,LE-10024,2025-05-01 12:08:58.257932 +00:00,,3,F,2025-05-01 17:35:02.652590 +00:00,
12806,3029,3044,5,15,2025-05-01 17:36:59.040254 +00:00,49,655,LE-10034,2025-05-01 12:08:58.258166 +00:00,,3,F,2025-05-01 17:36:59.051891 +00:00,
12817,2140,2143,0,3,2025-05-01 17:38:00.894213 +00:00,49,666,LE-10045,2025-05-01 12:08:58.258482 +00:00,,3,F,2025-05-01 17:38:00.902419 +00:00,
